Date,TMax,TMin,Wind,Gust,Rain,Snow,Events
02/01/2012,3.3,-12,5.5,NULL,0,7.2,Fog
03/01/2012,5.2,-10,8.1,NULL,0,5.1,Fog
04/01/2012,3.2,-8,8.1,NULL,0,4.1,Fog
05/01/2012,11,-7,24.5,29.9,0,3.1,Fog
06/01/2012,9,0,21.7,40.7,1.8,6.2,Rain;Snow
07/01/2012,2,-1,21.7,NULL,19.7,14.1,Snow
08/01/2012,2,-3,24.5,NULL,1.3,15.1,Snow
09/01/2012,3,-2,16.4,NULL,0.8,15.1,Snow
10/01/2012,3,-7,13.6,NULL,0.3,13.1,Fog;Snow
11/01/2012,2.2,-8,13.6,NULL,0,12.1,NULL
12/01/2012,4,-6,16.4,NULL,0,9,Fog
13/01/2012,5.5,-6,21.7,NULL,0,7.2,Fog;Rain
14/01/2012,2.7,-2,27.1,40.7,0,7.2,Snow
15/01/2012,0,-6,24.5,38,0,7.2,Snow
16/01/2012,-1,-6,27.1,NULL,0,6.2,Snow
17/01/2012,0,-7,24.5,32.6,0,6.2,Snow
18/01/2012,1,-7,21.7,NULL,0,7.2,Snow
19/01/2012,5,-6,13.6,NULL,0,5.1,Snow
20/01/2012,6,-3,13.6,NULL,0,5.1,Snow
21/01/2012,3,-3,29.9,40.7,7.2,14.1,Rain;Snow
22/01/2012,2.2,-7,19,40.7,1.5,14.1,Snow
23/01/2012,6.2,-8,8.1,NULL,0.3,9,Rain;Snow
24/01/2012,6,-2,16.4,NULL,0,7.2,Fog;Rain;Snow
25/01/2012,2.4,-2,16.4,NULL,5.1,27.2,Snow
26/01/2012,-1.4,-9,16.4,NULL,17.2,40.3,Snow
27/01/2012,0,-8,10.9,NULL,5.9,40.3,Snow
28/01/2012,-2.7,-9,16.4,NULL,0,39.5,Fog;Snow
29/01/2012,-2.4,-14,19,27.1,0,34.4,Snow
30/01/2012,-5,-20,13.6,NULL,0,32.3,NULL
31/01/2012,-5.4,-22,5.5,NULL,0,29.2,Fog
01/02/2012,-5,-21,24.5,NULL,0,26.2,Fog
02/02/2012,-5,-13,29.9,NULL,1,30.3,Snow
03/02/2012,-1,-6,29.9,NULL,2.3,31.3,Snow
04/02/2012,4,-3.2,27.1,NULL,0.3,27.2,Rain;Snow
05/02/2012,3.2,-10,16.4,NULL,1,32.3,Rain;Snow
06/02/2012,-5,-11,8.1,NULL,10.8,39.5,Snow
07/02/2012,-5.5,-14,16.4,NULL,8.5,47.4,Snow
08/02/2012,-7,-14.2,13.6,NULL,1.3,45.4,Snow
09/02/2012,-5.2,-17,10.9,NULL,0,42.3,Snow
10/02/2012,-4,-12,24.5,NULL,0.3,42.3,Snow
11/02/2012,-3.5,-10.3,24.5,NULL,1.5,44.4,Snow
12/02/2012,1,-6,27.1,NULL,1.5,46.4,Snow
13/02/2012,1,-10,21.7,NULL,0,48.5,Rain;Snow
14/02/2012,-1,-17,10.9,NULL,0,46.4,Fog;Snow
15/02/2012,-5.4,-21,8.1,NULL,0,45.4,Snow
16/02/2012,1.6,-9,27.1,40.7,0,45.4,Snow
17/02/2012,-1,-7,27.1,35.4,0.5,43.3,Snow
18/02/2012,-2.5,-7,2.7,NULL,0,44.4,Snow
19/02/2012,4.7,-9,8.1,NULL,0,38.5,Fog
20/02/2012,6,-11,5.5,NULL,0,34.4,Fog
21/02/2012,5.2,-11,10.9,NULL,0,30.3,Fog
22/02/2012,7,-5,10.9,NULL,0,27.2,Fog
23/02/2012,3.7,-5,8.1,NULL,0,27.2,Fog
24/02/2012,8.1,-5,27.1,40.7,0,24.1,Fog
25/02/2012,11.3,1,35.4,48.9,0,15.1,NULL
26/02/2012,10,-2,16.4,NULL,0,14.1,Rain
27/02/2012,4,-4,19,NULL,0,14.1,Rain;Snow
28/02/2012,0.7,-6,19,NULL,0.3,13.1,Snow
29/02/2012,5,-5,21.7,32.6,1.5,16.2,Fog;Rain;Snow
01/03/2012,6,-5,16.4,NULL,4.4,13.1,Snow
02/03/2012,10,-6,21.7,NULL,0,12.1,Rain
03/03/2012,10,0,35.4,54.4,0,2.1,NULL
04/03/2012,10,-4,19,NULL,0,1,NULL
05/03/2012,10,-3,10.9,NULL,0,1,NULL
06/03/2012,9,-5.2,13.6,NULL,0,NULL,NULL
07/03/2012,5,-5,10.9,NULL,0,3.1,Rain;Snow
08/03/2012,5,-1.7,10.9,NULL,7.4,1,Snow
09/03/2012,10,-1,10.9,NULL,0,NULL,NULL
10/03/2012,8,0,16.4,NULL,0,NULL,NULL
11/03/2012,8,-0.4,16.4,NULL,0,NULL,Rain;Snow
12/03/2012,5,-2,13.6,NULL,1.8,1,Rain;Snow
13/03/2012,8,-2,13.6,NULL,0.3,NULL,Rain;Snow
14/03/2012,11,-5,29.9,40.7,0,NULL,NULL
15/03/2012,9,4,27.1,38,0,NULL,NULL
16/03/2012,15,-2,16.4,21.7,0,NULL,NULL
17/03/2012,20,-4,13.6,NULL,0,NULL,NULL
18/03/2012,23,-1,10.9,NULL,0,NULL,NULL
19/03/2012,24,-1,16.4,24.5,0,NULL,NULL
20/03/2012,21,2,10.9,NULL,0,NULL,NULL
21/03/2012,21,4,24.5,35.4,0,NULL,NULL
22/03/2012,20,-1,10.9,NULL,0,NULL,NULL
23/03/2012,22,1,8.1,NULL,0,NULL,NULL
24/03/2012,22,1,19,NULL,0,NULL,Rain
25/03/2012,20,4,21.7,24.5,0,NULL,Fog;Rain;Thunder
26/03/2012,18,0,27.1,38,1.8,NULL,Fog
27/03/2012,16,-1,24.5,40.7,0,NULL,Rain
28/03/2012,15,1,16.4,NULL,0,NULL,Rain
29/03/2012,20,-2,27.1,43.5,0,NULL,Rain
30/03/2012,13.2,5.7,29.9,46.1,1.5,NULL,Rain
31/03/2012,18,5,27.1,38,0.8,NULL,NULL
01/04/2012,15,-2,27.1,NULL,0,1,Rain;Snow
02/04/2012,14,-4.8,13.6,19,12.3,1,NULL
03/04/2012,19,-1,19,NULL,0,NULL,NULL
04/04/2012,20,4,19,NULL,0,NULL,NULL
05/04/2012,24,4,16.4,NULL,0,NULL,Rain
06/04/2012,17.1,10.8,21.7,NULL,0.5,NULL,Rain
07/04/2012,21,9.4,19,32.6,1.8,NULL,Rain
08/04/2012,16.7,3.3,35.4,40.7,0,NULL,Rain
09/04/2012,11,1,24.5,32.6,2.8,NULL,NULL
10/04/2012,13,2.8,13.6,NULL,0,NULL,NULL
11/04/2012,19,-1,19,NULL,0,NULL,NULL
12/04/2012,20,6.5,21.7,NULL,0,NULL,Rain
13/04/2012,20,3,19,NULL,0,NULL,Rain
14/04/2012,19,7.5,29.9,NULL,0.5,NULL,Fog;Rain;Thunder
15/04/2012,17,7,40.7,54.4,9.5,NULL,Rain;Thunder
16/04/2012,21,1,19,NULL,0.8,NULL,Rain
17/04/2012,18,8.4,27.1,32.6,3.3,NULL,Rain
18/04/2012,13.3,6.4,24.5,NULL,8.5,NULL,Rain
19/04/2012,19,4.1,24.5,35.4,11.3,NULL,NULL
20/04/2012,19,8,24.5,46.1,0,NULL,Rain;Thunder
21/04/2012,16,4.7,21.7,48.9,1.5,NULL,Rain;Thunder
22/04/2012,19,3.6,10.9,21.7,6.7,NULL,NULL
23/04/2012,23,6,13.6,NULL,0,NULL,NULL
24/04/2012,24,13,19,40.7,0,NULL,Rain
25/04/2012,25,7,38,46.1,0,NULL,Rain
26/04/2012,23,3.4,10.9,NULL,1.5,NULL,NULL
27/04/2012,23,5.7,19,32.6,0,NULL,NULL
28/04/2012,25,7,21.7,35.4,0,NULL,Rain
29/04/2012,27,7,19,29.9,0,NULL,NULL
30/04/2012,29,9,16.4,NULL,0,NULL,NULL
01/05/2012,29,9,16.4,NULL,0,NULL,NULL
02/05/2012,29,8.8,16.4,21.7,0,NULL,NULL
03/05/2012,29,10,19,NULL,0,NULL,NULL
04/05/2012,25,11,16.4,35.4,0,NULL,Rain;Thunder
05/05/2012,27,8,24.5,NULL,1.5,NULL,Rain;Thunder
06/05/2012,26,8.4,10.9,NULL,2.6,NULL,Fog
07/05/2012,27,10.2,21.7,27.1,0,NULL,Rain
08/05/2012,24,10.7,19,NULL,0,NULL,Rain;Thunder
09/05/2012,23,9.4,21.7,35.4,9.5,NULL,Rain;Thunder
10/05/2012,21.3,8,13.6,NULL,0,NULL,Rain
11/05/2012,25,11.6,16.4,NULL,0.3,NULL,Rain
12/05/2012,26,13.4,19,NULL,1.5,NULL,Rain;Thunder
13/05/2012,22.5,9.3,35.4,48.9,0.8,NULL,Rain;Thunder
14/05/2012,15,8,16.4,NULL,1.5,NULL,Rain
15/05/2012,16,9,21.7,NULL,9.5,NULL,Rain
16/05/2012,18,8.4,21.7,NULL,5.4,NULL,Rain
17/05/2012,16,7.3,19,NULL,2.6,NULL,Rain;Thunder
18/05/2012,14,6.4,19,NULL,22.8,NULL,Rain
19/05/2012,19,8.5,16.4,NULL,0,NULL,Rain
20/05/2012,24,11,10.9,NULL,0.5,NULL,Rain
21/05/2012,24,9,19,NULL,0,NULL,Fog;Rain
22/05/2012,23,9.9,29.9,46.1,0.3,NULL,Rain;Hail;Thunder
23/05/2012,16,9.9,19,NULL,15.4,NULL,Rain
24/05/2012,20,10,16.4,NULL,7.4,NULL,Fog
25/05/2012,20,11,10.9,NULL,0.3,NULL,Rain
26/05/2012,18,11.4,8.1,NULL,0,NULL,Rain
27/05/2012,16,11,13.6,NULL,10.8,NULL,Rain
28/05/2012,18,7,13.6,27.1,25.4,NULL,Rain
29/05/2012,21,5.8,16.4,NULL,1.8,NULL,Fog;Rain;Thunder
