Date,Time,Open,High,Low,Close,Volume
12/01/2004,10:00,39.491,39.53,39.36,39.485,10715985
12/01/2004,10:30,39.485,39.71,39.48,39.6699,15354837
12/01/2004,11:00,39.66,39.72,39.64,39.71,6690057
12/01/2004,11:30,39.704,39.83,39.7,39.751,7049386
12/01/2004,12:00,39.75,39.86,39.72,39.82,6055592
12/01/2004,12:30,39.81,39.86,39.8,39.817,4209372
12/01/2004,13:00,39.8101,39.86,39.805,39.811,2179907
12/01/2004,13:30,39.811,39.83,39.73,39.78,5192699
12/01/2004,14:00,39.785,39.823,39.74,39.77,4515262
12/01/2004,14:30,39.761,39.86,39.76,39.85,4519453
12/01/2004,15:00,39.85,39.88,39.82,39.87,6704952
12/01/2004,15:30,39.87,39.961,39.86,39.94,9113951
12/02/2004,09:30,39.82,40,39.76,39.95,10945169
12/02/2004,10:00,39.95,40.07,39.899,40.05,10830533
12/02/2004,10:30,40.054,40.29,40.04,40.24,14954835
12/02/2004,11:00,40.235,40.39,40.23,40.301,13217421
12/02/2004,11:30,40.307,40.37,40.22,40.24,10316745
12/02/2004,12:00,40.23,40.25,40.12,40.153,6620914
12/02/2004,12:30,40.16,40.16,40.01,40.053,5829912
12/02/2004,13:00,40.05,40.13,39.97,39.991,5247745
12/02/2004,13:30,39.99,40.11,39.95,40.05,6482568
12/02/2004,14:00,40.05,40.16,40.01,40.15,5216515
12/02/2004,14:30,40.15,40.184,40.11,40.16,4293970
12/02/2004,15:00,40.159,40.176,40.018,40.065,6898807
12/02/2004,15:30,40.06,40.102,40.02,40.08,5056397
12/03/2004,09:30,40.31,40.48,40.209,40.46,15285783
12/03/2004,10:00,40.456,40.59,40.176,40.24,18622500
12/03/2004,10:30,40.24,40.29,40.08,40.21,12027492
12/03/2004,11:00,40.209,40.38,40.2,40.285,10523557
12/03/2004,11:30,40.29,40.39,40.28,40.33,3645271
12/03/2004,12:00,40.33,40.38,40.298,40.311,3539181
12/03/2004,12:30,40.317,40.34,40.198,40.2,4419081
12/03/2004,13:00,40.202,40.3,40.13,40.244,6627318
12/03/2004,13:30,40.244,40.25,40.17,40.18,3434536
12/03/2004,14:00,40.18,40.28,40.13,40.24,4534978
12/03/2004,14:30,40.242,40.26,40.15,40.173,4498473
12/03/2004,15:00,40.18,40.26,40.17,40.25,3628159
