City	Country	Latitude	Longitude	Country_ISO3	Pop1950	Pop1955	Pop1960	Pop1965	Pop1970	Pop1975	Pop1980	Pop1985	Pop1990	Pop1995	Pop2000	Pop2005	Pop2010	Pop2015	Pop2020	Pop2025	Pop2050
Sofia	Bulgaria	42.7	23.33	BGR	520	620	710	810	890	980	1070	1180	1190	1170	1130	1170	1180	1210	1230	1240	1236
Mandalay	Myanmar	21.97	96.08	MMR	170	200	250	310	370	440	500	560	640	720	810	920	960	1030	1170	1310	1446
Nay Pyi Taw	Myanmar	19.75	96.1	MMR	0	0	0	0	0	0	0	0	0	0	0	60	930	1020	1180	1320	1461
Yangon	Myanmar	16.87	96.12	MMR	1300	1440	1590	1760	1950	2150	2380	2630	2910	3210	3550	3930	4090	4350	4840	5360	5869
Minsk	Belarus	53.89	27.57	BLR	280	410	550	720	930	1120	1320	1470	1610	1650	1700	1780	1800	1850	1880	1880	1883
Phnum Pénh	Cambodia	11.56	104.91	KHM	360	380	390	440	900	100	240	430	620	840	1160	1360	1470	1650	2030	2460	2911
El Djazaïr	Algeria	36.78	3.05	DZA	520	620	870	1050	1250	1500	1620	1670	1910	2300	2750	3200	3350	3570	3920	4240	4499
Wahran	Algeria	35.74	-0.52	DZA	270	290	300	320	380	470	540	600	650	680	710	760	800	850	940	1030	1105
Douala	Cameroon	4.13	9.7	CMR	100	120	150	200	300	430	570	740	930	1160	1430	1770	1910	2110	2420	2720	2996
Yaoundé	Cameroon	3.86	11.51	CMR	30	50	80	110	180	290	420	580	750	950	1190	1490	1610	1790	2060	2310	2549
Calgary	Canada	51.03	-114.04	CAN	130	190	260	320	390	460	570	660	740	810	950	1060	1110	1180	1260	1300	1345
Edmonton	Canada	53.55	-113.5	CAN	160	230	320	390	480	540	620	760	830	860	920	1020	1060	1110	1170	1220	1256
Montréal	Canada	45.54	-73.65	CAN	1340	1650	2030	2370	2680	2790	2820	2900	3150	3300	3470	3600	3680	3780	3910	4010	4108
Ottawa-Gatineau	Canada	45.37	-75.65	CAN	280	340	420	480	580	680	730	800	920	990	1080	1120	1140	1180	1230	1270	1315
Toronto	Canada	43.72	-79.41	CAN	1070	1360	1740	2090	2540	2770	3010	3360	3810	4200	4610	5040	5210	5450	5690	5830	5946
Vancouver	Canada	49.27	-122.96	CAN	560	590	620	840	1040	1150	1250	1360	1560	1790	1960	2090	2150	2220	2310	2380	2444
N'Djaména	Chad	12.1	15.24	TCD	20	40	70	110	160	230	320	390	480	580	710	900	990	1130	1400	1750	2172
Santiago	Chile	-33.43	-70.65	CHL	1320	1620	1980	2290	2650	3140	3720	4200	4620	4960	5280	5600	5720	5880	6080	6220	6310
Valparaíso	Chile	-33.02	-71.55	CHL	330	380	430	480	530	580	640	680	730	770	800	840	850	880	920	960	982
"Anshan, Liaoning"	China	41.11	122.97	CHN	480	600	750	920	1000	1080	1180	1300	1440	1500	1550	1610	1640	1700	1860	2030	2167
Anshun	China	26.25	105.93	CHN	190	210	240	260	300	330	370	470	660	710	760	820	850	900	990	1080	1164
Anyang	China	36.1	114.33	CHN	110	140	180	220	280	360	460	540	620	690	760	850	890	950	1060	1160	1240
Baoding	China	38.85	115.48	CHN	180	210	250	290	340	400	470	540	600	730	890	1040	1110	1210	1360	1480	1586
Baotou	China	40.65	109.8	CHN	530	590	660	740	820	920	1020	1130	1230	1430	1660	1920	2040	2210	2470	2690	2869
Beijing	China	39.9	116.38	CHN	4330	4630	4940	5280	5650	6030	6450	6890	7360	8490	9780	10720	11110	11740	12840	13810	14545
Bengbu	China	32.93	117.35	CHN	230	270	310	350	400	460	530	610	700	750	800	870	890	940	1040	1140	1225
Benxi	China	41.3	123.77	CHN	410	470	540	610	660	710	770	840	940	960	980	1000	1010	1050	1140	1250	1339
Changchun	China	43.88	125.31	CHN	760	920	1110	1310	1430	1560	1700	1910	2190	2450	2730	3050	3180	3400	3760	4080	4338
Changde	China	29.03	111.68	CHN	290	350	420	490	590	700	830	990	1180	1260	1340	1430	1470	1540	1700	1850	1979
"Changsha, Hunan"	China	28.09	113	CHN	620	670	720	780	860	940	1040	1160	1330	1670	2090	2450	2600	2830	3170	3440	3663
"Changzhou, Jiangsu"	China	31.78	119.97	CHN	110	140	180	220	280	360	460	580	730	880	1070	1250	1330	1440	1620	1770	1894
Chengdu	China	30.67	104.07	CHN	770	920	1110	1330	1590	1910	2290	2640	2960	3400	3920	4060	4120	4270	4630	5010	5320
Chifeng	China	42.27	118.95	CHN	130	160	190	240	280	340	410	600	990	1060	1150	1240	1280	1350	1490	1620	1739
Chongqing	China	29.54	106.52	CHN	1680	1840	2010	2180	2310	2440	2580	2810	3120	4340	6040	6360	6460	6690	7250	7820	8275
Dalian	China	39.03	121.59	CHN	680	850	1060	1280	1340	1400	1460	1790	2470	2660	2860	3070	3170	3340	3660	3970	4221
Dandong	China	40.11	124.38	CHN	240	270	300	350	400	450	510	580	660	720	780	840	870	920	1020	1120	1198
Daqing	China	46.58	125	CHN	260	310	370	430	510	600	720	840	1000	1170	1370	1590	1690	1840	2070	2250	2404
"Datong, Shanxi"	China	40.06	113.28	CHN	620	660	710	760	820	880	940	1070	1280	1390	1520	1760	1870	2040	2280	2490	2653
"Dongguan, Guangdong"	China	23.03	113.71	CHN	380	450	540	640	760	900	1080	1340	1740	2560	3770	4320	4530	4850	5370	5810	6157
Foshan	China	23.03	113.71	CHN	90	110	130	160	190	220	270	330	430	570	750	890	940	1030	1160	1260	1356
"Fushun, Liaoning"	China	41.85	123.9	CHN	630	730	830	940	1010	1080	1160	1260	1390	1410	1430	1460	1470	1520	1650	1800	1924
Fuxin	China	42.01	121.65	CHN	170	200	250	310	390	480	590	680	740	680	630	720	770	840	940	1040	1112
Fuyang	China	30.05	119.94	CHN	50	60	70	90	110	130	160	190	230	380	610	730	770	840	950	1040	1114
"Fuzhou, Fujian"	China	26.07	119.3	CHN	490	600	730	870	940	1010	1100	1220	1400	1710	2100	2450	2610	2830	3170	3440	3666
"Guangzhou, Guangdong"	China	23.09	113.29	CHN	1490	1680	1880	2120	2380	2670	3000	3420	3920	5380	7390	8420	8830	9450	10410	11220	11835
Guilin	China	25.27	110.29	CHN	150	180	210	250	290	340	400	470	560	670	800	930	990	1080	1210	1320	1418
Guiyang	China	26.57	106.7	CHN	680	750	830	920	1030	1140	1260	1440	1660	2210	2930	3450	3660	3980	4440	4820	5114
Haerbin	China	45.75	126.62	CHN	1010	1280	1610	1970	2120	2290	2470	2700	2990	3210	3440	3570	3620	3750	4080	4420	4696
Handan	China	36.6	114.48	CHN	380	440	500	580	670	770	890	990	1090	1200	1320	1540	1630	1780	1990	2170	2318
Hangzhou	China	30.25	120.16	CHN	640	740	860	980	1030	1100	1160	1290	1480	1890	2410	2830	3010	3270	3650	3970	4217
Hefei	China	31.86	117.27	CHN	260	310	370	440	530	640	760	920	1100	1340	1640	1920	2040	2210	2480	2700	2878
Hengyang	China	26.9	112.6	CHN	170	200	240	290	340	410	490	590	700	780	870	970	1020	1090	1210	1320	1418
Heze	China	35.23	115.43	CHN	380	440	510	590	680	780	900	1040	1200	1240	1280	1320	1340	1390	1520	1660	1771
Hohhot	China	40.81	111.64	CHN	320	360	420	470	540	620	700	810	940	1140	1390	1620	1730	1880	2110	2300	2449
Huai'an	China	33.5	119.13	CHN	830	860	890	930	960	1000	1030	1070	1110	1150	1200	1240	1260	1320	1440	1570	1681
Huaibei	China	34.15	116.65	CHN	210	230	260	300	330	380	420	480	540	630	730	860	910	1000	1120	1230	1315
