TaskID,Start,End,Title,Description,OwnerID,IsAllDay,Recurrence
------,-----,---,-----,-----------,-------,--------,----------
4,2013-06-09 21:00:00.000,2013-06-10 00:00:00.000,Bowling tournament,,2,0,NULL
5,2013-06-10 07:00:00.000,2013-06-10 08:00:00.000,Take the dog to the vet,,2,0,NULL
6,2013-06-11 11:30:00.000,2013-06-11 13:00:00.000,Call Charlie about the project,,2,0,NULL
7,2013-06-12 23:00:00.000,2013-06-13 00:00:00.000,Meeting with Alex,,3,0,NULL
9,2013-06-14 02:00:00.000,2013-06-14 02:00:00.000,Alex's Birthday,,2,1,NULL
12,2013-06-24 08:30:00.000,2013-06-24 09:30:00.000,Car Service,Might come to work later!,2,0,NULL
14,2013-06-24 10:00:00.000,2013-06-24 11:00:00.000,Replace the printer on the 1st floor,,3,0,NULL
15,2013-06-25 00:00:00.000,2013-06-26 00:00:00.000,Attending HR Conference,,1,1,NULL
16,2013-06-25 12:00:00.000,2013-06-25 13:00:00.000,Business Lunch with Gregory Watkins,,1,0,NULL
17,2013-06-27 08:30:00.000,2013-06-27 09:30:00.000,Breakfast with CFO and COO,,1,0,NULL
18,2013-06-27 10:00:00.000,2013-06-27 11:00:00.000,Job Interview - Mathew Stevens,Junior Researcher,1,0,NULL
19,2013-06-27 11:00:00.000,2013-06-27 11:30:00.000,Review CVs with Tim,,1,0,NULL
20,2013-06-27 12:00:00.000,2013-06-27 13:30:00.000,Lunch with Monica,Discuss the Employee handbook,1,0,NULL
21,2013-06-27 14:00:00.000,2013-06-27 15:00:00.000,Job Interview - John Stewart,Accountant,1,0,NULL
22,2013-06-27 15:30:00.000,2013-06-27 16:30:00.000,Job Interview - Mary Smith,Accountant,1,0,NULL
24,2013-06-24 12:00:00.000,2013-06-24 12:30:00.000,Register new Access Cards,,3,0,NULL
25,2013-06-04 19:00:00.000,2013-06-04 21:00:00.000,HR Lecture,,1,0,FREQ=WEEKLY;BYDAY=TU,TH
26,2013-06-28 08:00:00.000,2013-06-28 09:00:00.000,Dentist,,1,0,NULL
27,2013-06-28 09:30:00.000,2013-06-28 10:30:00.000,Job Interview - Laura Bailey,Helpdesk,1,0,NULL
28,2013-06-28 11:00:00.000,2013-06-28 12:00:00.000,Job Interview - Jenny Baxter,Helpdesk,1,0,NULL
31,2013-06-28 14:00:00.000,2013-06-28 17:00:00.000,Team building prep tasks,,1,0,NULL
